Names,Race or Ethnicity
"Newman, Michael Jay",White
"Newman, Pauline",White
"Newsom, Kevin Christopher",White
"Nichols, Carl John",White
"Nickerson, William M.",White
"Nielsen, William Fremming",White
"Nielson, Howard Curtis, Jr.",White
"Niemeyer, Paul Victor",White
"Noreika, Maryellen",White
"Norgle, Charles Ronald, Sr.",White
"Norris, Alan Eugene",White
"Norris, Mark Saalfield, Sr.",White
"Norton, David C.",White
"Novak, David John",White
"Nowlin, James Robertson",White
"Nuffer, David Ogden",White
"Nugent, Donald C.",White
"Nye, David Charles",White
"Nygaard, Richard Lowell",White
"O'Brien, Terrence L.",White
"O'Connor, Reed Charles",White
"O'Hearn, Christine Patricia",White
"O'Meara, John Corbett",White
"O'Neill, Lawrence Joseph",White
"O'Scannlain, Diarmuid Fionntain",White
"O'Toole, George A., Jr.",White
"Oetken, James Paul",White
"Oldham, Andrew Stephen",White
"Orrick, William Horsley III",White
"Osteen, William Lindsay, Jr.",White
"Owens, John Byron",White
"Ozerden, Halil Suleyman",White
"Padova, John R.",White
"Palk, Scott Lawrence",White
"Pallmeyer, Rebecca R.",White
"Pannell, Charles A., Jr.",White
"Pappert, Gerald John",White
"Parker, Thomas Lee Robinson",White
"Parrish, Jill N.",White
"Payne, James H.",White
"Payne, Robert E.",White
"Pechman, Marsha J.",White
"Pepper, Pamela",White
"Perry, Catherine D.",White
"Peterson, James Donald",White
"Peterson, Rosanna Malouf",White
"Phillips, Gregory Alan",White
"Phillips, Mary Elizabeth",White
"Phillips, Thomas W.",White
"Phillips, Virginia A.",White
"Phipps, Peter Joseph",White
"Piersol, Lawrence L.",White
"Pillard, Cornelia Thayer Livingston",White
"Pitlyk, Sarah Elizabeth",White
"Pitman, Robert Lee",White
"Pittman, Mark Timothy",White
"Pitts, Patrick Casey",White
"Plager, S. Jay",White
"Polster, Dan A.",White
"Ponsor, Michael Adrian",White
"Porfilio, John Carbone",White
"Porter, David James",White
"Pratt, Robert W.",White
"Pratter, Gene E.K.",White
"Pregerson, Dean D.",White
"Preska, Loretta A.",White
"Presnell, Gregory A.",White
"Proctor, R. David",White
"Prost, Sharon",White
"Pryor, Jill Anne",White
"Pryor, William Holcombe, Jr.",White
"Quackenbush, Justin Lowe",White
"Quattlebaum, A. Marvin, Jr.",White
"Quist, Gordon Jay",White
"Raggi, Reena",White
"Rainey, John David",White
"Rakoff, Jed Saul",White
"Rambo, Sylvia H.",White
"Randolph, Arthur Raymond",White
"Rash, Scott Hugh",White
"Ray, William McCrary II",White
"Rayes, Douglas Leroy",White
"Reade, Linda R.",White
"Readler, Chad Andrew",White
"Rearden, Jennifer Hutchison",White
"Reeves, Danny C.",White
"Reidinger, Martin Karl",White
"Reif, Timothy Mark",White
"Reinhard, Philip Godfrey",White
"Reiss, Christina Clair",White
"Rendell, Marjorie O.",White
"Restani, Jane A.",White
"Rice, Thomas Owen",White
"Rice, Walter Herbert",White
"Richardson, Eli Jeremy",White
"Richardson, Julius Ness",White
"Richman, Priscilla",White
"Ridgway, Delissa Anne",White
"Riggs, Kea Whetzal",White
"Rikelman, Julie",White
"Ripple, Kenneth Francis",White
"Robart, James L.",White
"Roberts, John Glover, Jr.",White
"Robinson, Beth",White
"Robinson, Todd Wallace",White
