,Names,Race or Ethnicity
712,"Murtha, John Garvan",White
713,"Myerscough, Sue Ellen",White
714,"Nachmanoff, Michael Stefan",White
715,"Nardacci, Anne Marie",White
716,"Nardini, William Joseph",White
717,"Nathan, Alison Julie",White
718,"Neff, Janet T.",White
719,"Nelson, Dorothy Wright",White
720,"Nelson, Ryan Douglas",White
721,"Nelson, Susan Richard",White
722,"Newman, Jon Ormond",White
723,"Newman, Michael Jay",White
724,"Newman, Pauline",White
725,"Newsom, Kevin Christopher",White
726,"Nichols, Carl John",White
727,"Nickerson, William M.",White
728,"Nielsen, William Fremming",White
729,"Nielson, Howard Curtis, Jr.",White
730,"Niemeyer, Paul Victor",White
731,"Noreika, Maryellen",White
732,"Norgle, Charles Ronald, Sr.",White
733,"Norris, Alan Eugene",White
734,"Norris, Mark Saalfield, Sr.",White
735,"Norton, David C.",White
736,"Novak, David John",White
737,"Nowlin, James Robertson",White
738,"Nuffer, David Ogden",White
739,"Nugent, Donald C.",White
740,"Nye, David Charles",White
741,"Nygaard, Richard Lowell",White
742,"O'Brien, Terrence L.",White
743,"O'Connor, Reed Charles",White
744,"O'Hearn, Christine Patricia",White
745,"O'Meara, John Corbett",White
746,"O'Neill, Lawrence Joseph",White
747,"O'Scannlain, Diarmuid Fionntain",White
748,"O'Toole, George A., Jr.",White
749,"Oetken, James Paul",White
750,"Oldham, Andrew Stephen",White
751,"Orrick, William Horsley III",White
752,"Osteen, William Lindsay, Jr.",White
753,"Owens, John Byron",White
754,"Ozerden, Halil Suleyman",White
755,"Padova, John R.",White
756,"Palk, Scott Lawrence",White
757,"Pallmeyer, Rebecca R.",White
758,"Pannell, Charles A., Jr.",White
759,"Pappert, Gerald John",White
760,"Parker, Thomas Lee Robinson",White
761,"Parrish, Jill N.",White
762,"Payne, James H.",White
763,"Payne, Robert E.",White
764,"Pechman, Marsha J.",White
765,"Pepper, Pamela",White
766,"Perry, Catherine D.",White
767,"Peterson, James Donald",White
768,"Peterson, Rosanna Malouf",White
769,"Phillips, Gregory Alan",White
770,"Phillips, Mary Elizabeth",White
771,"Phillips, Thomas W.",White
772,"Phillips, Virginia A.",White
773,"Phipps, Peter Joseph",White
774,"Piersol, Lawrence L.",White
775,"Pillard, Cornelia Thayer Livingston",White
776,"Pitlyk, Sarah Elizabeth",White
777,"Pitman, Robert Lee",White
778,"Pittman, Mark Timothy",White
779,"Pitts, Patrick Casey",White
780,"Plager, S. Jay",White
781,"Polster, Dan A.",White
782,"Ponsor, Michael Adrian",White
783,"Porfilio, John Carbone",White
784,"Porter, David James",White
785,"Pratt, Robert W.",White
786,"Pratter, Gene E.K.",White
787,"Pregerson, Dean D.",White
788,"Preska, Loretta A.",White
789,"Presnell, Gregory A.",White
790,"Proctor, R. David",White
791,"Prost, Sharon",White
792,"Pryor, Jill Anne",White
793,"Pryor, William Holcombe, Jr.",White
